Simulation results (a),,Simulation results (b),,Simulation results (c),,Formula prediction,
Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db)
6,76.7268,6,77.05082,6.81336,75.32609,6,78.08241
6,78.7677,6,79.82526,6.97585,74.63474,6,78.08241
6,78.6307,6,79.44793,8.63074,74.34799,6,78.0824
6.00021,78.09273,6.0002,78.89211,9.31436,74.75583,6.0002,78.08207
6.00048,77.99122,6.00022,80.05948,10,73.87926,6.00022,78.08203
6.00069,79.29011,6.00084,78.77284,10.77379,74.404,6.00084,78.081
6.00071,80.32183,6.0011,79.08169,10.79569,74.54387,6.0011,78.08057
6.00089,77.8852,6.0018,78.95826,12.94197,74.79831,6.0018,78.0794
6.01305,80.26675,6.00216,79.61339,13.54881,74.64107,6.00216,78.07881
6.01328,80.29919,6.00291,79.16444,14.38547,73.41037,6.00291,78.07756
6.02189,81.56377,6.00673,79.43223,14.76765,74.37358,6.00673,78.07119
6.03305,78.93042,6.00721,79.06229,15.15691,74.38034,6.00721,78.07039
6.08042,78.18403,6.03522,78.48635,15.22261,72.9491,6.03522,78.02388
6.13475,78.14071,6.09757,78.53049,16.57995,74.29614,6.09757,77.9211
6.16539,79.61248,6.15065,79.17626,17.23625,74.09236,6.15065,77.83442
6.17401,78.95484,6.17634,78.65511,19.05825,73.81162,6.17634,77.79274
6.21796,77.80736,6.20597,79.53803,19.75754,73.72581,6.20597,77.74489
6.2278,79.83646,6.23333,79.76481,19.88696,73.97755,6.23333,77.70089
6.23351,78.04768,6.26392,78.57772,19.96352,73.76688,6.26392,77.65195
6.25039,77.91456,6.26765,79.85692,20,72.77418,6.26765,77.64599
6.26495,77.80227,6.29613,78.55115,23.95121,73.16513,6.29613,77.60065
6.32031,81.0013,6.3749,78.23653,24.29099,73.49247,6.3749,77.47632
6.41017,78.24814,6.42846,79.58013,24.50857,72.2987,6.42846,77.39265
6.42084,80.24745,6.5229,78.329,24.59366,72.2037,6.5229,77.24682
6.44669,79.00886,6.59487,78.39885,25.3171,73.51069,6.59487,77.13709
6.45406,79.29039,6.60316,77.2322,25.33409,72.90847,6.60316,77.12452
6.55835,77.15084,6.61088,77.24106,25.52052,72.72168,6.61088,77.11284
6.5841,79.05466,6.64508,78.37283,26.27845,73.00377,6.64508,77.06123
